CPR;Bloc;Application;Statut;Détail
VR Selfcare;L9;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;N6;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;N8;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;P4;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;P5;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;P6;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;P7;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;P8;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;Q1;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;T2;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;T3;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;W1;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;W2;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;W4;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;OX;NOVA;Composant non exploité;
VR Selfcare;MX;NOVA;Composant non exploité;
VR Selfcare;SX;NOVA;Composant non exploité;
VR Selfcare;HX;NOVA;Composant non exploité;
VR Selfcare;HJ;NOVA;Composant non exploité;
VR Selfcare;RX;NOVA;Composant non exploité;
VR Selfcare;WP;NOVA;Composant non exploité;
VR Selfcare;FM;NOVA;Composant non exploité;
VR Selfcare;JF;NOVA;Composant non exploité;
VR Selfcare;GG;NOVA;Composant non exploité;
VR Selfcare;GH;NOVA;Composant non exploité;
VR Selfcare;CICS (LCL);MVS Z/OS (Ingenium);Composant utilisé;
VR Selfcare;DB2 (LCL);MVS Z/OS (Ingenium);Composant utilisé;
VR Selfcare;INVI/VC (LCL);MVS Z/OS (Ingenium);Composant utilisé;
VR Selfcare;PE (LCL);MVS Z/OS (Ingenium);Composant utilisé;
VR Selfcare;CICS (CA);MVS Z/OS (Ingenium);Composant utilisé;
VR Selfcare;DB2 (CA);MVS Z/OS (Ingenium);Composant utilisé;
VR Selfcare;INVI/VC (CA);MVS Z/OS (Ingenium);Composant utilisé;
VR Selfcare;PE (CA);MVS Z/OS (Ingenium);Composant utilisé;
VR Selfcare;Dét. Contrat natif MB;CA-TS;Composant utilisé;
VR Selfcare;Microservices;CA-TS;Composant utilisé;
VR Selfcare;BAM;CA-TS;Composant utilisé;
VR Selfcare;NPC;CA-TS;Composant utilisé;
VR Selfcare;SIG9;CA-TS;Composant utilisé;
VR Selfcare;RAC;CA-TS;Composant utilisé;
VR Selfcare;PDI9;CA-TS;Composant utilisé;
VR Selfcare;Xconnect;CA-TS;Composant utilisé;
VR Selfcare;BPM;CA-TS;Composant utilisé;
VR Selfcare;SIMM;CA-TS;Composant utilisé;
VR Selfcare;HUB;CA-TS;Composant utilisé;
VR Selfcare;APX9;CA-TS;Composant utilisé;
VR Selfcare;W5;Avanet;Composant non exploité;
VR Selfcare;AEDI;Avanet;Composant non exploité;
VR Selfcare;SVOD;Avanet;Composant non exploité;
VR Selfcare;PW;Avanet;Composant non exploité;
VR Selfcare;VS;SimulAssur;Composant non exploité;
VR Selfcare;SR;SimulAssur;Composant non exploité;
VR Selfcare;EP;SimulAssur;Composant non exploité;
VR Selfcare;J2;Plateforme Data (PFD);Composant non exploité;
VR Selfcare;J6;Plateforme Data (PFD);Composant non exploité;
VR Selfcare;J8;Plateforme Data (PFD);Composant non exploité;
VR Selfcare;MesComptes;LCL;Composant non exploité;
VR Selfcare;BEL;LCL;Composant non exploité;
VR Selfcare;Docapost;LCL;Composant non exploité;
VR Selfcare;BD;Prediweb 1;Composant non exploité;
VR Selfcare;SGR;Prediweb 1;Composant non exploité;
VR Selfcare;PY;Prediweb 2;Composant non exploité;
VR Selfcare;AJ;AIA V4 (Sinistres);Composant non exploité;
VR Selfcare;PWC2;ETL;Composant non exploité;
VR Selfcare;EBX;EBX;Composant non exploité;
VR Selfcare;VL;REFUC;Composant non exploité;
VR Selfcare;BX;BDOC;Composant non exploité;
VR Selfcare;ONDM;Editique;Composant non exploité;
15C ADE Lot 1 : Adhésion Lemoine;APPE;New NOVA (K8S+AWS);Composant créé ou modifié;
15C ADE Lot 1 : Adhésion Lemoine;CJNI;New NOVA (K8S+AWS);Composant créé ou modifié;
15C ADE Lot 1 : Adhésion Lemoine;C8;New NOVA (K8S+AWS);Composant créé ou modifié;
15C ADE Lot 1 : Adhésion Lemoine;D9;New NOVA (K8S+AWS);Composant créé ou modifié;
15C ADE Lot 1 : Adhésion Lemoine;F3;New NOVA (K8S+AWS);Composant créé ou modifié;
15C ADE Lot 1 : Adhésion Lemoine;F4;New NOVA (K8S+AWS);Composant créé ou modifié;
15C ADE Lot 1 : Adhésion Lemoine;F5;New NOVA (K8S+AWS);Composant non exploité;
15C ADE Lot 1 : Adhésion Lemoine;F6;New NOVA (K8S+AWS);Composant non exploité;
15C ADE Lot 1 : Adhésion Lemoine;F7;New NOVA (K8S+AWS);Composant non exploité;
15C ADE Lot 1 : Adhésion Lemoine;F8;New NOVA (K8S+AWS);Composant non exploité;
15C ADE Lot 1 : Adhésion Lemoine;G3;New NOVA (K8S+AWS);Composant non exploité;
15C ADE Lot 1 : Adhésion Lemoine;G4;New NOVA (K8S+AWS);Composant non exploité;
15C ADE Lot 1 : Adhésion Lemoine;G6;New NOVA (K8S+AWS);Composant non exploité;
